x,y
757.32007,-313.45557
755.4532,-315.11273
751.21655,-317.65637
746.3802,-319.3116
740.9477,-320.11896
737.9846,-320.18457
735.6371,-320.08783
729.41766,-318.9266
721.3722,-316.6038
711.50476,-313.11902
705.81323,-310.89233
700.0688,-308.47693
689.4615,-304.58273
680.0006,-301.77252
671.7849,-300.00208
668.23267,-299.53345
665.5281,-302.13306
665.8396,-305.91455
667.46106,-314.38885
670.28406,-323.87604
674.3125,-334.28644
676.8303,-339.84265
679.3318,-345.37085
683.18616,-355.62622
685.70667,-364.92047
686.94226,-373.25342
687.0432,-377.0194
686.9763,-380.4563
686.1968,-386.82605
684.683,-392.5418
682.48065,-397.54913
681.1096,-399.73718
679.4532,-401.7765
675.6025,-404.90192
671.0689,-406.93182
665.81067,-407.9199
662.864,-408.0
659.9186,-407.91876
654.6945,-406.92218
650.2669,-404.88547
646.63196,-401.76514
645.1433,-399.73718
643.6056,-397.5491
641.19885,-392.54175
639.59436,-386.826
638.7922,-380.4563
638.72534,-377.0194
638.825,-373.26593
640.0513,-364.9466
642.5642,-355.6524
646.42426,-345.38336
648.93823,-339.84265
651.45593,-334.28647
655.4824,-323.8761
658.298,-314.38885
659.9027,-305.91455
660.20044,-302.13306
657.5359,-299.53345
654.01526,-300.00208
645.97375,-301.77258
636.725,-304.58276
626.2615,-308.47696
620.52075,-310.89233
614.8128,-313.11902
604.7958,-316.6038
596.546,-318.9266
590.1618,-320.08783
587.78394,-320.18457
584.82214,-320.12012
579.4012,-319.3213
574.58,-317.67285
570.3548,-315.12408
568.489,-313.45557
566.7269,-311.70157
563.9172,-307.97235
562.00226,-303.89972
561.0239,-299.39703
560.9407,-296.93396
561.0239,-294.4695
562.00226,-289.9651
563.9172,-285.89172
566.7269,-282.16232
568.489,-280.40833
570.3546,-278.75244
574.5798,-276.20947
579.4011,-274.55347
584.82214,-273.74518
587.78394,-273.67944
590.9111,-273.7763
598.21484,-274.93866
606.8733,-277.26294
616.9925,-280.7488
622.70044,-282.9756
633.82104,-287.30182
647.1474,-291.73566
654.4493,-293.69385
657.5764,-294.33447
652.20825,-278.84216
660.281,-0.020263672
665.64966,-0.020263672
673.7229,-278.84216
668.35425,-294.33447
671.4687,-293.69385
678.7649,-291.73566
692.10455,-287.30182
703.2302,-282.9756
708.9369,-280.7488
719.0447,-277.26294
727.688,-274.93866
734.98035,-273.7763
738.1062,-273.67944
741.0693,-273.74402
746.5016,-274.54382
751.338,-276.193
755.5746,-278.7411
757.44165,-280.40833
759.18994,-282.16232
761.98267,-285.89172
763.8899,-289.9651
764.8662,-294.4695
764.94946,-296.93396
764.8624,-299.39703
763.85205,-303.89978
761.8994,-307.9724
759.07263,-311.7016
757.32056,-313.45557
757.32007,-313.45557
757.32007,-313.45557
433.58765,393.8313
425.87875,393.76266
411.31152,392.92163
397.73492,391.2047
385.11566,388.5772
373.42035,385.00433
362.6156,380.45117
352.66818,374.88306
343.54462,368.2651
335.21167,360.56253
327.63593,351.74066
320.78406,341.7646
314.62268,330.59955
309.11847,318.21075
304.2381,304.5634
299.94818,289.6227
296.2154,273.35394
294.5686,264.65308
229.21655,-291.182
228.50659,-299.11957
227.47983,-313.68253
226.99246,-326.7396
227.11967,-338.36722
227.9366,-348.64188
229.5184,-357.6399
231.94022,-365.43774
235.27722,-372.11188
239.60455,-377.7387
244.99738,-382.39468
251.53082,-386.15622
259.2801,-389.0998
268.32025,-391.3018
278.72656,-392.83862
290.5741,-393.78677
303.93805,-394.2226
311.28003,-394.25574
476.9812,-394.11047
476.9812,-407.96802
111.21167,-407.8994
-8.016357,-72.041016
-38.136833,12.054131
-70.05917,101.985825
-86.067764,145.73605
-95.70197,170.18005
-101.349304,183.2965
-106.4715,193.91167
-111.19881,202.23477
-115.66153,208.47491
-119.9899,212.84131
-124.31419,215.54306
-128.76465,216.78937
-131.09131,216.88452
-133.51566,216.79294
-138.11343,215.5858
-142.55548,212.95537
-147.00339,208.68546
-151.61871,202.55994
-156.56296,194.36264
-161.99765,183.87737
-168.08437,170.88797
-178.65833,146.61636
-196.68231,103.018845
-220.22206,45.513885
-250.56992,-27.627857
-269.0652,-71.36255
-287.11307,-113.78815
-324.02457,-198.09288
-380.17725,-323.93765
-417.20728,-407.93152
-718.98096,-407.93152
-746.88574,-394.07397
-660.3015,-394.07397
-648.26086,-394.01016
-626.5133,-393.25897
-607.4171,-391.786
-590.80664,-389.62048
-576.5165,-386.79184
-564.38104,-383.32935
-554.2347,-379.2624
-545.912,-374.6203
-539.2473,-369.43246
-534.07513,-363.72815
-530.22974,-357.53668
-527.5459,-350.8875
-525.8577,-343.80984
-524.9999,-336.33313
-524.80676,-328.48663
-525.11273,-320.2997
-525.4116,-316.07544
-573.13965,253.32275
-574.59875,270.392
-576.9184,293.596
-578.761,307.81598
-581.0167,320.9616
-583.834,333.0296
-587.36145,344.01672
-591.74774,353.91974
-595.7253,360.59958
-598.7018,364.735
-601.97644,368.5975
-605.568,372.18677
-609.495,375.50238
-613.7759,378.54395
-618.4293,381.31104
-623.4739,383.80322
-628.928,386.0201
-634.81055,387.96136
-644.4184,390.38995
-658.9756,392.61334
-675.5801,393.72668
-684.791,393.81958
-737.04443,394.14258
-764.9492,408.0
-319.91797,408.0
-347.78638,394.14258
-434.15674,393.81958
-455.36462,393.7931
-482.0686,393.10132
-497.39264,392.01117
-510.7105,390.17896
-519.3923,388.17053
-524.65027,386.5205
-529.4689,384.57852
-533.86194,382.32092
-537.8432,379.72406
-541.42664,376.76422
-544.626,373.41772
-547.455,369.661
-549.9276,365.4704
-552.0575,360.82217
-553.85864,355.6927
-555.3447,350.0583
-557.0486,340.67877
-558.2964,326.09662
-558.53296,309.06897
-557.86865,289.4065
-556.41406,266.91992
-555.3989,254.42896
-524.7656,-124.60449
-518.8893,-191.59589
-512.61273,-258.7882
-509.0879,-289.36014
-506.53156,-305.30322
-504.76978,-313.40665
-502.90137,-319.61053
-500.87305,-324.16217
-498.6313,-327.30884
-496.12283,-329.29788
-493.29416,-330.37662
-490.09195,-330.7923
-488.3152,-330.81665
-486.4314,-330.76575
-483.71863,-330.0433
-481.87762,-329.04077
-479.94543,-327.46216
-477.8628,-325.18652
-474.36453,-320.32648
-468.58618,-310.14157
-461.14062,-294.99133
-446.16656,-261.76245
-396.97516,-145.85474
-305.0647,72.92551
-217.54123,279.6879
-162.8711,407.95557
-132.65665,325.0625
-77.73226,172.43729
-29.403494,36.992207
12.340467,-79.73156
47.510452,-176.19287
69.37543,-233.59705
82.040085,-265.18604
93.06734,-290.84247
102.45854,-310.37384
108.37805,-320.68484
111.84787,-325.67603
114.90946,-329.0276
117.56295,-330.7154
118.71973,-330.85706
120.08302,-330.82733
122.601,-330.31628
124.918564,-328.9853
127.0912,-326.52545
129.1744,-322.62775
131.22362,-316.9834
133.29436,-309.2834
135.4421,-299.21878
138.90247,-279.40466
144.32568,-241.38101
154.80261,-157.7537
164.67188,-74.325195
203.42285,271.4226
204.35658,280.51782
204.87828,293.19843
204.78378,301.1676
204.31958,308.73145
203.49442,315.8992
202.31705,322.68024
200.79625,329.08392
198.94072,335.1195
196.75928,340.7964
194.26062,346.12384
191.45352,351.1112
188.34676,355.76785
184.94905,360.10303
181.26918,364.1261
177.31589,367.84637
170.92389,372.9145
161.48184,378.65036
151.1037,383.343
139.8595,387.067
127.81923,389.89697
115.05298,391.90756
101.63075,393.1733
87.62259,393.76892
80.400635,393.81543
17.946777,394.06567
-10.135498,407.95947
520.1887,407.95947
497.4226,393.8518
433.60425,393.8518
433.58765,393.8313
433.58765,393.8313
